City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
73,Tual,ID,2022-07-28 19:32:00,-5.6667,132.75,78.19,86,78,22.82,broken clouds,0,0
74,Benicarlo,ES,2022-07-28 19:32:01,40.4165,0.4271,80.24,81,11,6.26,few clouds,0,0
75,Galveston,US,2022-07-28 19:32:01,29.3669,-94.9669,98.1,60,0,13.8,clear sky,0,0
76,Slave Lake,CA,2022-07-28 19:32:01,55.2834,-114.769,87.78,42,0,12.66,clear sky,0,0
77,Torbay,CA,2022-07-28 19:32:02,47.6666,-52.7314,63.28,89,100,16.11,mist,0,0
78,Ambulu,ID,2022-07-28 19:32:02,-8.345,113.6058,72.28,89,85,4.5,overcast clouds,0,0
79,Norman Wells,CA,2022-07-28 19:32:03,65.282,-126.8329,60.84,63,75,6.91,broken clouds,0,0
80,Saint Pete Beach,US,2022-07-28 19:30:05,27.7253,-82.7412,96.24,63,0,4.61,clear sky,0,0
81,Comodoro Rivadavia,AR,2022-07-28 19:32:04,-45.8667,-67.5,51.66,37,0,35.68,clear sky,0,0
82,Hanmer Springs,NZ,2022-07-28 19:32:04,-42.5167,172.8167,41.38,97,100,4.63,light rain,0,0
83,Bilibino,RU,2022-07-28 19:27:09,68.0546,166.4372,48.45,61,12,4.34,few clouds,0,0
84,Alpena,US,2022-07-28 19:32:05,45.0617,-83.4327,80.19,52,75,12.66,broken clouds,0,0
85,Yumen,CN,2022-07-28 19:30:36,40.2833,97.2,76.84,13,82,9.42,broken clouds,0,0
86,Moerai,PF,2022-07-28 19:32:05,-22.4333,-151.3333,73.15,79,45,25.5,light rain,0,0
87,Mananjary,MG,2022-07-28 19:32:06,-21.2167,48.3333,67.71,88,84,1.68,light rain,0,0
88,Vila Do Maio,CV,2022-07-28 19:32:06,15.1333,-23.2167,90.39,83,3,18.32,clear sky,0,0
89,Ancud,CL,2022-07-28 19:32:06,-41.8697,-73.8203,47.52,79,100,4.97,overcast clouds,0,0
90,Provideniya,RU,2022-07-28 19:32:08,64.3833,-173.3,48.96,84,97,3.78,overcast clouds,0,0
91,Hilo,US,2022-07-28 19:32:09,19.7297,-155.09,84.27,76,20,3.44,few clouds,0,0
92,Hailar,CN,2022-07-28 19:32:10,49.2,119.7,58.78,74,1,3.22,clear sky,0,0
93,Basoko,CD,2022-07-28 19:32:12,1.2391,23.616,72.14,92,100,2.59,moderate rain,0,0
94,Broome,US,2022-07-28 19:27:51,42.2506,-75.833,85.46,64,100,12.66,overcast clouds,0,0
95,Bathsheba,BB,2022-07-28 19:28:37,13.2167,-59.5167,88.41,79,40,20.71,scattered clouds,0,0
96,San Patricio,US,2022-07-28 19:27:30,28.017,-97.5169,98.17,39,27,18.5,scattered clouds,0,0
97,Prieska,ZA,2022-07-28 19:32:17,-29.6641,22.7474,58.15,33,0,4.65,clear sky,0,0
98,Karratha,AU,2022-07-28 19:32:19,-20.7377,116.8463,68.29,63,3,7.07,light rain,0,0
99,Komsomolskiy,UZ,2022-07-28 19:27:49,40.4272,71.7189,88.52,20,100,13.8,overcast clouds,0,0
100,Kloulklubed,PW,2022-07-28 19:32:23,7.0419,134.2556,82.9,74,100,5.5,overcast clouds,0,0
101,Saravan,AM,2022-07-28 19:32:25,39.7196,45.6483,63.14,76,0,7.49,clear sky,0,0
102,Alofi,NU,2022-07-28 19:32:27,-19.0595,-169.9187,75.09,83,20,11.5,few clouds,0,0
103,Atuona,PF,2022-07-28 19:32:28,-9.8,-139.0333,76.73,77,28,24.96,light rain,0,0
104,Tabuk,PH,2022-07-28 19:32:29,17.4189,121.4443,74.28,93,100,2.33,overcast clouds,0,0
105,Oytal,KZ,2022-07-28 19:32:30,42.9057,73.2697,74.39,44,9,6.82,clear sky,0,0
106,Pisco,PE,2022-07-28 19:31:48,-13.7,-76.2167,64.45,72,75,9.22,broken clouds,0,0
107,Ust-Kuyga,RU,2022-07-28 19:32:32,70.0167,135.6,65.23,94,100,5.57,light rain,0,0
108,Chibombo,ZM,2022-07-28 19:32:33,-14.6569,28.0706,58.42,51,4,7.14,clear sky,0,0
109,Yuksekova,TR,2022-07-28 19:32:35,37.5736,44.2872,65.95,27,0,1.14,clear sky,0,0
110,Alta Floresta,BR,2022-07-28 19:32:36,-9.8756,-56.0861,96.62,23,0,3.44,clear sky,0,0
111,Severo-Kurilsk,RU,2022-07-28 19:32:37,50.6789,156.125,52.77,92,100,9.06,overcast clouds,0,0
112,Buraydah,SA,2022-07-28 19:32:38,26.326,43.975,99.05,13,98,7.7,overcast clouds,0,0
113,Pundaguitan,PH,2022-07-28 19:32:39,6.3711,126.1689,82.8,75,94,7.74,overcast clouds,0,0
114,Mao,ES,2022-07-28 19:32:39,39.8885,4.2658,81.16,69,0,4.61,clear sky,0,0
115,Bani,DO,2022-07-28 19:32:40,18.2833,-70.3333,86.86,52,12,14.25,few clouds,0,0
116,Coquimbo,CL,2022-07-28 19:27:54,-29.9533,-71.3436,60.53,67,0,11.5,clear sky,0,0
117,East London,ZA,2022-07-28 19:32:42,-33.0153,27.9116,69.85,57,15,16.93,few clouds,0,0
118,Adrar,MR,2022-07-28 19:32:43,20.5022,-10.0711,104.36,7,2,8.59,clear sky,0,0
119,Avarua,CK,2022-07-28 19:32:44,-21.2078,-159.775,77.05,78,75,21.85,broken clouds,0,0
120,Chuy,UY,2022-07-28 19:32:45,-33.6971,-53.4616,50.32,89,100,14.76,overcast clouds,0,0
121,Lop Buri,TH,2022-07-28 19:32:46,14.7981,100.654,81.91,81,83,4.74,broken clouds,0,0
122,Bluff,NZ,2022-07-28 19:32:49,-46.6,168.3333,47.8,75,100,11.74,overcast clouds,0,0
123,Kodiak,US,2022-07-28 19:32:53,57.79,-152.4072,60.31,67,0,5.75,clear sky,0,0
124,Zhigansk,RU,2022-07-28 19:32:56,66.7697,123.3711,66.29,68,99,6.26,overcast clouds,0,0
125,Skjervoy,NO,2022-07-28 19:32:59,70.0311,20.9714,51.8,71,85,1.83,overcast clouds,0,0
126,Pangnirtung,CA,2022-07-28 19:32:59,66.1451,-65.7125,50.0,93,100,16.11,fog,0,0
127,High Level,CA,2022-07-28 19:31:19,58.5169,-117.136,80.71,57,75,11.5,broken clouds,0,0
128,Pomichna,UA,2022-07-28 19:33:03,48.2422,31.4158,66.69,71,92,6.91,overcast clouds,0,0
129,Port Macquarie,AU,2022-07-28 19:33:04,-31.4333,152.9167,41.9,69,97,5.82,overcast clouds,0,0
130,San Cristobal,VE,2022-07-28 19:33:05,7.7669,-72.225,73.58,60,99,6.8,overcast clouds,0,0
131,Lyantonde,UG,2022-07-28 19:33:06,-0.4031,31.1572,69.33,61,90,1.57,overcast clouds,0,0
132,Mar Del Plata,AR,2022-07-28 19:33:07,-38.0023,-57.5575,50.09,95,100,21.0,heavy intensity drizzle,0,0
133,San Policarpo,PH,2022-07-28 19:33:08,12.1791,125.5072,79.43,87,100,7.65,moderate rain,0,0
134,Seoul,KR,2022-07-28 19:28:24,37.5683,126.9778,80.2,81,40,5.75,scattered clouds,0,0
135,Tautira,PF,2022-07-28 19:33:10,-17.7333,-149.15,77.34,77,23,24.23,light rain,0,0
136,Egvekinot,RU,2022-07-28 19:32:59,66.3167,-179.1667,41.74,87,100,2.59,light rain,0,0
137,Conakry,GN,2022-07-28 19:33:11,9.538,-13.6773,78.87,89,75,13.8,broken clouds,0,0
138,Abu Samrah,SY,2022-07-28 19:33:13,35.3029,37.1841,85.96,25,0,9.28,clear sky,0,0
139,Hasaki,JP,2022-07-28 19:33:14,35.7333,140.8333,77.4,90,79,10.94,broken clouds,0,0
140,Nakatsu,JP,2022-07-28 19:33:15,33.5981,131.1883,82.29,88,0,6.38,clear sky,0,0
141,Husavik,IS,2022-07-28 19:33:15,66.0449,-17.3389,52.14,77,25,7.49,scattered clouds,0,0
142,Maracas,BR,2022-07-28 19:33:16,-13.4411,-40.4308,67.23,66,82,6.69,broken clouds,0,0
143,Meulaboh,ID,2022-07-28 19:33:16,4.1363,96.1285,75.61,89,100,2.19,overcast clouds,0,0
144,Qasigiannguit,GL,2022-07-28 19:33:17,68.8193,-51.1922,50.25,55,93,5.03,overcast clouds,0,0
