City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Mantua,IT,83.44,broken clouds,45.1667,10.7833,Hotel la Favorita
538,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
540,Pombas,CV,82.18,few clouds,17.1503,-25.0201,Paul Paradis
548,Santa Isabel Do Rio Negro,BR,88.83,scattered clouds,-0.4139,-65.0192,Hotel GSA
551,Paragominas,BR,82.26,overcast clouds,-2.9667,-47.4833,INOVA
559,Aquiraz,BR,84.29,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
565,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
568,Rapid City,US,81.46,clear sky,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
574,Sola,VU,80.17,broken clouds,-13.8833,167.55,Leumerus Bungalows
575,Cabatuan,PH,78.03,overcast clouds,10.8794,122.486,MVC Transient Room
579,Vasto,IT,78.67,scattered clouds,42.1243,14.7059,Hotel President
585,Formosa Do Rio Preto,BR,87.22,clear sky,-11.0483,-45.1931,Porto Center Hotel
588,Ranong,TH,78.08,few clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
596,Dalbandin,PK,81.79,overcast clouds,28.8947,64.4101,Sanjrani House
597,Amberley,US,89.91,scattered clouds,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
600,Rampura,IN,81.52,light rain,30.25,75.2333,Akash
602,Carupano,VE,83.05,scattered clouds,10.6678,-63.2585,Hotel La dorada
603,Hambantota,LK,78.48,overcast clouds,6.1241,81.1185,Bungalow 63
610,Guerrero Negro,MX,79.21,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
614,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
616,Port Angeles,US,83.32,clear sky,48.1181,-123.4307,Red Lion Hotel Port Angeles Harbor
617,Amritsar,IN,82.22,mist,31.6331,74.8656,OYO 27893 Sita Niwas Parking
628,Logan Lake,CA,82.24,scattered clouds,50.4998,-120.8025,Copper Valley Resort
